source,target,weight,type
0,1,0.680533686915,undirected
0,28,0.238128780973,undirected
0,29,0.503314825557,undirected
0,90,0.21351620121,undirected
0,239,0.482348553907,undirected
0,371,0.512306289881,undirected
0,398,0.831565426369,undirected
0,399,0.220187287644,undirected
0,400,0.386260048065,undirected
0,401,0.53571724538,undirected
0,402,0.14987155051,undirected
0,404,0.243473937184,undirected
0,478,0.390859368526,undirected
0,545,0.695491837242,undirected
0,547,0.107400348057,undirected
0,602,0.0802187784868,undirected
0,606,0.105452888042,undirected
0,647,0.453758183476,undirected
0,916,0.100107731831,undirected
0,1110,0.365791000249,undirected
0,1409,0.0176928814121,undirected
0,1644,0.367572718986,undirected
0,1688,0.513466478827,undirected
0,1706,0.618587884313,undirected
0,1747,0.73448247286,undirected
0,1756,0.511270406895,undirected
0,1766,0.478702245794,undirected
0,1767,0.407350625673,undirected
0,1793,0.634830529543,undirected
0,1831,0.31983923096,undirected
0,1874,0.765641833099,undirected
0,1988,0.240241982266,undirected
0,2024,0.455125549018,undirected
1,28,0.670133421729,undirected
1,29,0.6956161432,undirected
1,239,0.727811386426,undirected
1,371,0.786110880915,undirected
1,398,0.859575702329,undirected
1,399,0.459683434159,undirected
1,400,0.793652109058,undirected
1,401,0.840349714096,undirected
1,402,0.487196486285,undirected
1,404,0.946962791083,undirected
1,478,0.610176514461,undirected
1,498,0.194828872131,undirected
1,545,0.929891439463,undirected
1,547,0.663338029336,undirected
1,602,0.311054943234,undirected
1,606,0.453012347725,undirected
1,647,0.293320626502,undirected
1,916,0.421107151736,undirected
1,937,0.100314908428,undirected
1,1126,0.122234192426,undirected
1,1263,0.175229966023,undirected
1,1264,0.192757106157,undirected
1,1362,0.346689317975,undirected
1,1385,0.188364962294,undirected
1,1409,0.532443855142,undirected
1,1558,0.330943896577,undirected
1,1644,0.825598740366,undirected
1,1688,0.954835501782,undirected
1,1706,0.813789674318,undirected
1,1756,0.756691804094,undirected
1,1766,0.560329825143,undirected
1,1767,0.657785696528,undirected
1,1793,0.841882820917,undirected
1,1831,0.0685340183973,undirected
1,1874,0.854686334632,undirected
1,1877,0.00783127537913,undirected
1,1916,0.262948537333,undirected
1,1988,0.436438219939,undirected
1,2024,0.695118919367,undirected
1,2078,0.154388000331,undirected
2,105,0.175520013259,undirected
2,114,0.429435650949,undirected
2,280,0.0257313333886,undirected
2,324,0.805502610425,undirected
2,505,0.906314742687,undirected
2,506,0.620203861772,undirected
2,533,0.727604209828,undirected
2,659,0.70187287644,undirected
2,851,0.766470539488,undirected
2,1050,0.36492085854,undirected
2,1202,0.0488522416508,undirected
2,1204,0.882613739952,undirected
2,1398,0.455539902213,undirected
2,1425,0.538369105826,undirected
2,1460,0.43088588713,undirected
2,1473,0.721637523825,undirected
2,1615,0.589085936853,undirected
2,1747,0.174649871551,undirected
2,1799,0.344161763487,undirected
2,1848,0.269288141212,undirected
2,2018,0.918745338527,undirected
3,50,0.985083284992,undirected
3,162,0.956037126046,undirected
3,170,0.915554818928,undirected
3,204,0.834300157454,undirected
3,230,0.756816110052,undirected
3,298,0.995732162095,undirected
3,346,0.991008535676,undirected
3,359,0.99378470208,undirected
3,442,0.221927571062,undirected
3,466,0.982555730505,undirected
3,479,0.982224247949,undirected
3,485,0.99225159526,undirected
3,543,0.962832518439,undirected
3,567,0.923054611751,undirected
3,585,0.420319880666,undirected
3,596,0.747783210409,undirected
3,616,0.722507665534,undirected
3,687,0.918248114693,undirected
3,826,0.921480069611,undirected
3,915,0.995524985498,undirected
3,1031,0.959144775006,undirected
3,1054,0.989475428856,undirected
3,1735,0.221430347228,undirected
3,1868,0.993950443358,undirected
3,2046,0.967929062733,undirected
3,2088,0.993867572719,undirected
4,40,0.226609762161,undirected
4,46,0.250932294688,undirected
4,49,0.0181072346068,undirected
4,120,0.137275213392,undirected
4,181,0.510690312422,undirected
4,200,0.79269909671,undirected
4,201,0.425043507085,undirected
4,315,0.382406563355,undirected
4,379,0.179829286484,undirected
4,381,0.58154470871,undirected
4,446,0.434325018646,undirected
4,447,0.630355515041,undirected
4,448,0.258266346234,undirected
4,451,0.448827380459,undirected
4,519,0.613491340018,undirected
4,574,0.634001823154,undirected
4,619,0.958357503936,undirected
4,882,0.811469296428,undirected
4,978,0.170754951521,undirected
4,1018,0.509530123477,undirected
4,1346,0.0578022706555,undirected
4,1440,0.889864920859,undirected
4,1470,0.623311510732,undirected
4,1471,0.524488273805,undirected
4,1472,0.406936272479,undirected
4,1557,0.600356343747,undirected
4,1742,0.470042264026,undirected
4,1794,0.289922930306,undirected
4,1798,0.422723129195,undirected
4,1801,0.775503439132,undirected
4,1835,0.794149332891,undirected
4,1854,0.321910996934,undirected
4,1935,0.692052705726,undirected
4,1946,0.689400845281,undirected
4,2014,0.389326261705,undirected
4,2045,0.287561117096,undirected
4,2049,0.6692218447,undirected
4,2096,0.272685837408,undirected
5,384,0.0326924670589,undirected
5,1768,0.210988646722,undirected
5,1953,0.666487113616,undirected
5,2067,0.237507251181,undirected
6,37,0.0983260130936,undirected
6,242,0.466810309107,undirected
6,586,0.0186873290793,undirected
6,735,0.0740863512058,undirected
6,752,0.237300074584,undirected
6,771,0.342545786028,undirected
6,811,0.496353691887,undirected
6,812,0.279191182564,undirected
6,813,0.259633711776,undirected
6,816,0.533562608768,undirected
6,900,0.260711030082,undirected
6,1096,0.0918206679373,undirected
6,1652,0.485166155631,undirected
6,1958,0.516905610342,undirected
7,8,0.74380541974,undirected
7,97,0.443523659567,undirected
7,194,0.690105245711,undirected
7,436,0.101557968012,undirected
7,484,0.922184470042,undirected
7,573,0.355266429104,undirected
7,585,0.3991049971,undirected
7,599,0.82145520842,undirected
7,792,0.111875362559,undirected
7,821,0.849589790337,undirected
7,897,0.0240324852905,undirected
7,972,0.0926079390072,undirected
7,1032,0.880956327173,undirected
7,1059,0.686044584404,undirected
7,1115,0.669097538742,undirected
7,1462,0.61336703406,undirected
7,1707,0.16147343996,undirected
7,1839,0.324894339935,undirected
7,1960,0.592069279854,undirected
8,436,0.488812463744,undirected
8,484,0.664954006795,undirected
8,585,0.331606861689,undirected
8,599,0.884644070606,undirected
8,821,0.767340681197,undirected
