,citing,cited_id
637,4,9291
639,4,9392
640,4,9455
642,4,9471
643,4,9545
644,4,9114
646,4,9729
647,4,9843
648,4,9857
649,4,9884
650,4,10040
651,4,10093
652,4,10175
655,4,10217
658,4,10112
660,4,10290
664,4,11595
666,4,10665
667,4,10929
668,4,11059
670,4,11076
671,4,11172
672,4,11173
673,4,11182
675,4,11399
676,4,11397
677,4,11403
678,4,11401
679,4,11433
681,5,174
685,5,852
686,5,861
688,5,1180
689,5,1252
691,5,1502
694,5,2484
695,5,2480
696,5,1841
699,5,2795
700,5,2796
701,5,2797
702,5,2845
703,5,2969
704,5,3279
705,5,3152
707,5,3514
708,5,3379
712,5,4303
715,5,4946
717,5,4985
720,5,5249
724,5,5751
727,5,6120
728,5,6603
729,5,6639
730,5,6752
731,5,6815
732,5,7052
735,5,6881
736,5,7288
738,5,7385
740,5,7660
742,5,8161
746,5,8748
752,5,9028
753,5,9027
760,5,10051
762,5,10250
765,5,10150
767,5,10485
768,5,10656
772,5,11019
773,5,11299
781,6,2105
782,6,2104
785,6,2210
791,6,3280
802,6,4760
812,6,6449
814,6,7085
817,6,7602
822,6,7839
825,6,8237
828,6,8544
833,6,9658
836,6,10500
846,7,34
847,7,44
848,7,49
849,7,74
850,7,494
851,7,880
852,7,592
853,7,627
854,7,639
855,7,684
861,7,1859
868,7,2183
869,7,2186
870,7,2182
871,7,2175
872,7,2217
873,7,2292
876,7,2454
877,7,2547
879,7,2608
880,7,3106
881,7,3221
882,7,3219
883,7,3220
884,7,3157
885,7,3508
886,7,3561
887,7,3379
888,7,3590
889,7,3634
890,7,3660
891,7,3915
893,7,3711
894,7,4055
895,7,4122
896,7,3773
897,7,4251
898,7,4294
899,7,4346
900,7,4615
901,7,4663
902,7,4394
903,7,4395
904,7,4393
905,7,11567
907,7,4980
908,7,5008
910,7,5237
911,7,5262
912,7,5640
914,7,5783
915,7,5490
916,7,5489
917,7,5852
919,7,6226
920,7,6249
921,7,6294
922,7,6367
923,7,6365
926,7,6802
927,7,6996
928,7,7039
929,7,7041
932,7,7307
933,7,7303
935,7,7685
938,7,7838
939,7,7999
940,7,8185
941,7,8215
943,7,8277
944,7,8369
945,7,8404
946,7,8474
947,7,8655
948,7,8725
949,7,8576
951,7,9241
952,7,9265
954,7,9470
955,7,9508
957,7,9652
961,7,9936
962,7,9999
963,7,10000
965,7,10271
967,7,10340
969,7,10501
972,7,10961
973,7,11024
974,7,10801
975,7,10803
976,7,11139
977,7,10828
978,7,11140
979,7,11141
981,7,11337
982,7,11347
983,7,11385
988,8,375
989,8,451
990,8,485
995,8,968
996,8,623
997,8,680
1001,8,1594
1006,8,1932
1007,8,1929
1016,8,2259
1021,8,1839
1022,8,2464
1023,8,2489
1025,8,2510
1026,8,2518
1034,8,2965
1036,8,3065
1041,8,3133
1042,8,3154
1044,8,3316
1046,8,3870
1047,8,3868
1049,8,4080
1050,8,4097
1051,8,4096
1052,8,4164
1057,8,4708
1058,8,4707
1059,8,4795
1063,8,5042
1064,8,5040
1065,8,5041
1067,8,5258
1070,8,5165
1073,8,5324
1075,8,5555
1077,8,5823
1080,8,5879
1081,8,5505
1082,8,5504
1083,8,5903
1085,8,6203
1087,8,6293
1088,8,6346
1090,8,6472
1091,8,6481
1092,8,6478
1093,8,6477
1096,8,6670
1104,8,7249
1107,8,7350
1108,8,6922
1111,8,7459
1112,8,7511
1116,8,7758
1119,8,7890
1120,8,7987
1127,8,8246
1128,8,8283
1132,8,8520
1141,8,8980
1143,8,8998
1148,8,9514
1150,8,9620
1151,8,9621
1155,8,9994
1156,8,9995
1157,8,10256
1158,8,10269
1160,8,953
1161,8,10387
1163,8,10547
1164,8,10546
1165,8,11027
1166,8,10801
1167,8,11139
1168,8,11141
1172,8,11315
1178,8,11427
1181,9,120
1184,9,91
1185,9,551
1190,9,1206
1192,9,1326
1193,9,1494
1197,9,1814
1198,9,2440
1204,9,3257
1208,9,3494
1209,9,3498
1210,9,3538
1211,9,3537
1213,9,3808
1214,9,3867
1217,9,3987
1218,9,3989
1221,9,4177
1223,9,4196
1228,9,5873
1232,9,5872
1234,9,6280
1236,9,6451
1237,9,7105
1238,9,7119
1239,9,7345
1241,9,7886
1242,9,7970
1243,9,8310
1244,9,8734
1245,9,8935
1246,9,8919
1248,9,9331
1252,9,9925
1253,9,9197
1254,9,10010
1256,9,10068
1257,9,10070
1258,9,9214
1259,9,10284
1264,9,10665
1266,9,10917
1267,9,10916
1270,9,11485
1273,10,101
1274,10,98
1275,10,100
1276,10,99
1277,10,172
1278,10,26
1279,10,452
1281,10,853
1284,10,613
1286,10,998
1287,10,1001
1288,10,1149
1289,10,1150
1290,10,674
1295,10,2141
1296,10,1788
1297,10,2361
1298,10,1801
1299,10,11573
1301,10,3470
1302,10,3520
1303,10,3914
1305,10,3702
1307,10,4190
1308,10,4323
1311,10,5265
1313,10,5735
1316,10,5786
1317,10,5785
1320,10,6422
1321,10,6591
1322,10,2140
1323,10,6590
1324,10,6589
1325,10,6587
1326,10,6674
1327,10,7077
1329,10,7574
1330,10,7639
1334,10,7953
1335,10,7998
1336,10,8381
1337,10,8926
1338,10,9228
1339,10,9225
1340,10,9226
1341,10,9227
1342,10,9335
1343,10,9536
1346,10,9941
1349,10,10417
1350,10,10423
1354,10,10665
1355,10,10558
1356,10,10702
1358,10,10698
1361,10,10700
1362,10,10699
1365,10,10701
1366,10,11189
1370,10,11220
1371,11,175
1372,11,171
1373,11,174
1374,11,172
1375,11,228
1376,11,232
1380,11,843
1381,11,852
1388,11,1130
1391,11,1309
1392,11,1311
1393,11,1312
1396,11,11544
1398,11,1536
1399,11,1586
1400,11,1703
1404,11,2055
1405,11,2165
