source,target,weight,type
9,1728,0.574124,undirected
9,2035,0.506525,undirected
10,147,0.532513,undirected
10,250,0.511079,undirected
10,504,0.681033,undirected
10,508,0.583998,undirected
10,522,0.511809,undirected
10,685,0.682989,undirected
10,910,0.500525,undirected
10,1521,0.50512,undirected
10,1523,0.522393,undirected
10,1524,0.533716,undirected
10,1860,0.565994,undirected
11,221,0.650088,undirected
11,365,0.617023,undirected
11,368,0.500584,undirected
11,568,0.608077,undirected
11,727,0.684996,undirected
11,1083,0.640435,undirected
11,1956,0.512776,undirected
11,1987,0.547983,undirected
12,48,0.658522,undirected
12,227,0.684084,undirected
12,228,0.730054,undirected
12,229,0.686961,undirected
12,286,0.604258,undirected
12,293,0.661592,undirected
12,307,0.565335,undirected
12,378,0.618197,undirected
12,475,0.678019,undirected
12,481,0.557057,undirected
12,537,0.601089,undirected
12,610,0.747904,undirected
12,678,0.533338,undirected
12,696,0.684657,undirected
12,754,0.706306,undirected
12,787,0.571691,undirected
12,843,0.747625,undirected
12,919,0.514246,undirected
12,957,0.817532,undirected
12,1152,0.545202,undirected
12,1169,0.825357,undirected
12,1172,0.50775,undirected
12,1285,0.509019,undirected
12,1418,0.508619,undirected
12,1444,0.50779,undirected
12,1517,0.75493,undirected
12,1619,0.513607,undirected
12,1712,0.684525,undirected
12,1714,0.521451,undirected
12,2037,0.665793,undirected
13,18,0.554601,undirected
13,21,0.567952,undirected
13,27,0.507642,undirected
13,167,0.682207,undirected
13,206,0.540393,undirected
13,233,0.508284,undirected
13,261,0.559981,undirected
13,520,0.511288,undirected
13,551,0.50144,undirected
13,877,0.514825,undirected
13,922,0.55401,undirected
13,950,0.553723,undirected
13,954,0.656357,undirected
13,1083,0.505845,undirected
13,1089,0.507167,undirected
13,1334,0.536451,undirected
13,1702,0.636653,undirected
13,1741,0.564942,undirected
13,1786,0.509696,undirected
13,1845,0.506245,undirected
13,1851,0.627697,undirected
13,1941,0.623776,undirected
13,2056,0.582387,undirected
13,2095,0.54923,undirected
14,51,0.740403,undirected
14,75,0.502402,undirected
14,216,0.777399,undirected
14,305,0.67308,undirected
14,340,0.530002,undirected
14,458,0.550732,undirected
14,500,0.74468,undirected
14,698,0.720443,undirected
14,726,0.709958,undirected
14,791,0.744013,undirected
14,808,0.768921,undirected
14,853,0.696048,undirected
14,886,0.538291,undirected
14,895,0.547269,undirected
14,923,0.814211,undirected
14,997,0.753791,undirected
14,1064,0.691837,undirected
14,1090,0.709514,undirected
14,1412,0.794053,undirected
14,1456,0.622028,undirected
14,1818,0.72156,undirected
14,1830,0.513247,undirected
14,1856,0.628547,undirected
14,1875,0.501568,undirected
14,1973,0.606626,undirected
14,2002,0.752562,undirected
15,19,0.541171,undirected
15,145,0.564589,undirected
15,222,0.521104,undirected
15,254,0.537318,undirected
15,309,0.517646,undirected
15,570,0.534896,undirected
15,708,0.525022,undirected
15,796,0.507453,undirected
15,885,0.621655,undirected
15,980,0.61072,undirected
15,1211,0.519027,undirected
15,1301,0.530322,undirected
15,1495,0.500492,undirected
15,1515,0.639721,undirected
15,1665,0.503149,undirected
15,1716,0.502911,undirected
15,1765,0.669006,undirected
15,1772,0.597093,undirected
15,1930,0.627855,undirected
15,1931,0.584835,undirected
16,17,0.546612,undirected
16,18,0.518275,undirected
16,21,0.572498,undirected
16,23,0.664504,undirected
16,54,0.583169,undirected
16,77,0.502822,undirected
16,167,0.56411,undirected
16,233,0.503279,undirected
16,261,0.638909,undirected
16,279,0.500304,undirected
16,538,0.672692,undirected
16,577,0.667924,undirected
16,591,0.567706,undirected
16,592,0.604156,undirected
16,595,0.587274,undirected
16,951,0.546757,undirected
16,999,0.506759,undirected
16,1684,0.510277,undirected
16,1702,0.574325,undirected
16,1736,0.600579,undirected
16,1741,0.652125,undirected
16,1774,0.687155,undirected
16,1786,0.572472,undirected
16,1861,0.556338,undirected
16,1890,0.542696,undirected
16,1897,0.502928,undirected
16,1905,0.52575,undirected
16,1927,0.515678,undirected
16,1948,0.727296,undirected
16,1957,0.529488,undirected
16,2011,0.701218,undirected
16,2029,0.604094,undirected
16,2056,0.557689,undirected
16,2099,0.554384,undirected
17,19,0.523633,undirected
17,20,0.665464,undirected
17,22,0.807887,undirected
17,23,0.608498,undirected
17,65,0.571169,undirected
17,98,0.52609,undirected
17,613,0.726673,undirected
17,731,0.752811,undirected
17,860,0.724547,undirected
17,1080,0.625897,undirected
17,1091,0.50109,undirected
17,1358,0.579688,undirected
17,1416,0.684529,undirected
17,1418,0.532678,undirected
17,1421,0.751319,undirected
17,1721,0.783389,undirected
17,1737,0.748847,undirected
17,1741,0.573435,undirected
17,1786,0.731554,undirected
17,1814,0.776276,undirected
17,1886,0.609785,undirected
17,1890,0.530226,undirected
17,1897,0.709723,undirected
17,1940,0.684626,undirected
17,1948,0.790215,undirected
17,1983,0.69795,undirected
17,1990,0.661852,undirected
17,2099,0.622583,undirected
18,21,0.52109,undirected
18,167,0.689841,undirected
18,261,0.636564,undirected
18,538,0.507028,undirected
18,577,0.515112,undirected
18,591,0.552742,undirected
18,869,0.538863,undirected
18,1083,0.72705,undirected
18,1187,0.546708,undirected
18,1268,0.515492,undirected
18,1648,0.536654,undirected
