,citing,cited_id
0,0,36
1,0,428
2,0,934
3,0,650
4,0,744
5,0,1447
6,0,1468
7,0,1635
8,0,1645
9,0,1644
10,0,1707
11,0,1706
12,0,1732
13,0,2272
14,0,2326
15,0,2533
16,0,2841
17,0,2605
18,0,3416
19,0,3338
20,0,3662
21,0,3683
22,0,3907
23,0,3934
24,0,3727
25,0,4187
26,0,3755
27,0,3779
28,0,4299
29,0,4470
30,0,4595
31,0,4739
32,0,4821
33,0,4960
34,0,5266
35,0,5542
36,0,5431
37,0,5819
38,0,5497
39,0,6105
40,0,6456
41,0,6628
42,0,6649
43,0,6712
44,0,6711
45,0,6708
46,0,6709
47,0,6704
48,0,7045
49,0,6885
50,0,7269
51,0,7463
52,0,7510
53,0,7844
54,0,8166
55,0,8182
56,0,8337
57,0,8340
58,0,8348
59,0,8373
60,0,8426
61,0,8095
62,0,8518
63,0,8513
64,0,8516
65,0,8535
66,0,8554
67,0,8771
68,0,8560
69,0,8568
70,0,8909
71,0,8965
72,0,8969
73,0,9030
74,0,9385
75,0,9388
76,0,9458
77,0,9485
78,0,9603
79,0,9660
80,0,9685
81,0,9179
82,0,9955
83,0,10303
84,0,10229
85,0,10230
86,0,10127
87,0,10124
88,0,10125
89,0,10121
90,0,10128
91,0,10122
92,0,10126
93,0,10123
94,0,10302
95,0,10435
96,0,10755
97,0,10897
98,0,10990
99,0,10821
100,0,11145
101,0,11354
102,0,11352
103,0,17
104,0,448
105,0,925
106,0,928
107,0,923
108,0,1323
109,0,1447
110,0,1490
111,0,1635
112,0,2335
113,0,2355
114,0,2447
115,0,2532
116,0,2533
117,0,3006
118,0,3248
119,0,3301
120,0,4178
121,0,4299
122,0,4595
123,0,4740
124,0,4430
125,0,4439
126,0,4960
127,0,5098
128,0,5354
129,0,5874
130,0,6371
131,0,6386
132,0,6390
133,0,6457
134,0,6465
135,0,6583
136,0,6171
137,1,7015
138,1,7141
139,1,6920
140,1,7604
141,1,7606
142,1,7656
143,1,7969
144,1,8166
145,1,8182
146,1,8347
147,1,8098
148,1,8594
149,1,9310
150,1,9685
151,1,9886
152,1,9966
153,1,9967
154,1,9218
155,1,10137
156,1,10149
157,1,10944
158,1,10943
159,1,10945
160,1,11146
161,1,11143
162,1,11144
163,1,11203
164,1,11202
165,1,11207
166,1,23
167,1,298
168,1,373
169,1,424
170,1,900
171,1,1129
172,1,1130
173,1,1133
